full_name,Country,National_party,political_group,role
Hubert PIRKER,Austria,Österreichische Volkspartei,Group of the European People's Party (Christian Democrats),Member
María Auxiliadora CORREA ZAMORA,Spain,Partido Popular,Group of the European People's Party (Christian Democrats),Member
Gino TREMATERRA,Italy,Unione dei Democratici cristiani e dei Democratici di Centro,Group of the European People's Party (Christian Democrats),Substitute
Jan MULDER,Netherlands,Volkspartij voor Vrijheid en Democratie,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Vicente Miguel GARCÉS RAMÓN,Spain,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Amelia ANDERSDOTTER,Sweden,Piratpartiet,Group of the Greens/European Free Alliance,Substitute
Kent JOHANSSON,Sweden,Centerpartiet,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Agnès LE BRUN,France,Union pour un Mouvement Populaire,Group of the European People's Party (Christian Democrats),Vice-Chair
Juan Andrés NARANJO ESCOBAR,Spain,Partido Popular,Group of the European People's Party (Christian Democrats),Member
Dolores GARCÍA-HIERRO CARABALLO,Spain,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Salvador SEDÓ i ALABART,Spain,Coalición por Europa,Group of the European People's Party (Christian Democrats),Substitute
Eva ORTIZ VILELLA,Spain,Partido Popular,Group of the European People's Party (Christian Democrats),Substitute
Daniël van der STOEP,Netherlands,Partij voor de Vrijheid,Non-attached Members,Member
Maurizio Enzo LUPI,Italy,Nuovo Centrodestra - Unione di Centro,,
Monica Stefania BALDI,Italy,Forza Italia,Group of the European People's Party (Christian-Democratic Group),Substitute
Alima BOUMEDIENE-THIERY,France,Les Verts-Europe-Ecologie,Group of the Greens/European Free Alliance,Member
Giuseppe BOVA,Italy,Uniti nell'Ulivo,Non-attached Members,
Ursula BRAUN-MOSER,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian-Democratic Group),Member
Ombretta COLLI,Italy,Forza Italia,Group of the European People's Party (Christian-Democratic Group),Substitute
Joseph CUSCHIERI,Malta,Partit Laburista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Kārlis ŠADURSKIS,Latvia,Pilsoniskā Savienība,Group of the European People's Party (Christian Democrats),Member
Paul MURPHY,Ireland,Socialist Party,Confederal Group of the European United Left - Nordic Green Left,Substitute
Dimitrios DROUTSAS,Greece,Panhellenic Socialist Movement,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Vice-Chair
Mikael GUSTAFSSON,Sweden,Vänsterpartiet,Confederal Group of the European United Left - Nordic Green Left,Member
Nikolaos SALAVRAKOS,Greece,Popular Orthodox Rally - G. Karatzaferis,Europe of freedom and democracy Group,Member
Charalampos ANGOURAKIS,Greece,Communist Party of Greece,Confederal Group of the European United Left - Nordic Green Left,Substitute
Jean ROATTA,France,Union pour un Mouvement Populaire,Group of the European People's Party (Christian Democrats),Vice-Chair
Lucas HARTONG,Netherlands,Partij voor de Vrijheid,Non-attached Members,Member
María IRIGOYEN PÉREZ,Spain,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Zofija MAZEJ KUKOVIČ,Slovenia,Slovenska demokratska stranka,Group of the European People's Party (Christian Democrats),Member
Ewald STADLER,Austria,Bündnis Zukunft Österreich,Non-attached Members,Member
Mojca KLEVA KEKUŠ,Slovenia,Socialni demokrati,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Andrea ZANONI,Italy,Italia dei Valori - Lista Di Pietro,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Phil PRENDERGAST,Ireland,Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Damien ABAD,France,Nouveau Centre,Group of the European People's Party (Christian Democrats),Member
János ÁDER,Hungary,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,Group of the European People's Party (Christian Democrats),Vice-Chair
François ALFONSI,France,Partitu di a Nazione Corsa,Group of the Greens/European Free Alliance,Member
Magdi Cristiano ALLAM,Italy,Unione dei Democratici cristiani e dei Democratici di Centro,Europe of freedom and democracy Group,Member
Josefa ANDRÉS BAREA,Spain,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Roberta ANGELILLI,Italy,Alleanza nazionale,Group of the European People's Party (Christian Democrats),Substitute
Elena Oana ANTONESCU,Romania,Partidul Democrat-Liberal,Group of the European People's Party (Christian Democrats),Substitute
Alfredo ANTONIOZZI,Italy,Forza Italia,Group of the European People's Party (Christian Democrats),Substitute
Kader ARIF,France,Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Kriton ARSENIS,Greece,Panhellenic Socialist Movement,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Sir Robert ATKINS,United Kingdom,Conservative and Unionist Party,European Conservatives and Reformists Group,Substitute
Sophie AUCONIE,France,Nouveau Centre,Group of the European People's Party (Christian Democrats),Member
Jean-Pierre AUDY,France,Union pour un Mouvement Populaire,Group of the European People's Party (Christian Democrats),Member
Elena BĂSESCU,Romania,Partidul Democrat-Liberal,Group of the European People's Party (Christian Democrats),Member
Regina BASTOS,Portugal,Partido Social Democrata,Group of the European People's Party (Christian Democrats),Substitute
Edit BAUER,Slovakia,Strana mad'arskej koalície - Magyar Koalíció Pártja,Group of the European People's Party (Christian Democrats),Member
George BECALI,Romania,Partidul România Mare,Non-attached Members,Substitute
Sandrine BÉLIER,France,Europe Écologie,Group of the Greens/European Free Alliance,Member
Malika BENARAB-ATTOU,France,Europe Écologie,Group of the Greens/European Free Alliance,Substitute
Jean-Luc BENNAHMIAS,France,Les Verts-Europe-Ecologie,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Sergio BERLATO,Italy,Alleanza nazionale,European Conservatives and Reformists Group,Substitute
Thijs BERMAN,Netherlands,Partij van de Arbeid,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Adam BIELAN,Poland,Prawo i Sprawiedliwość,European Conservatives and Reformists Group,Substitute
Jean-Claude MARCOURT,Belgium,Parti Socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,
Gérard d'ABOVILLE,France,Rassemblement pour la République,Group Union for Europe,Member
Rui AMARAL,Portugal,Partido Social Democrata,Liberal and Democratic Reformist Group,Vice-Chair
Roberta Alma ANASTASE,Romania,Partidul Democrat,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Jan ANDERSSON,Sweden,Socialdemokraterna,Socialist Group in the European Parliament,Chair
Anne ANDRÉ-LÉONARD,Belgium,Parti réformateur libéral,"Group of the European Liberal, Democrat and Reform Party",Member
Pedro APARICIO SÁNCHEZ,Spain,Partido Socialista Obrero Español,Group of the Party of European Socialists,Substitute
Elspeth ATTWOOLL,United Kingdom,Liberal Democrat Party,Group of the Alliance of Liberals and Democrats for Europe,Member
Marino BALDINI,Croatia,Socijaldemokratska partija Hrvatske,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Mihály BALLA,Hungary,Fidesz-Magyar Polgári Szövetség,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Carla BARBARELLA,Italy,Partito comunista italiano,Communist and Allies Group,Substitute
Tiberiu BĂRBULEȚIU,Romania,Partidul Naţional Liberal,Group of the Alliance of Liberals and Democrats for Europe,Substitute
José BARROS MOURA,Portugal,Partido Comunista Português,Group of the Party of European Socialists,Member
Roberto BARZANTI,Italy,Partito comunista italiano,Group of the Party of European Socialists,Member
Dominique BAUDIS,France,Union pour la démocratie française,Group of the European People's Party (Christian Democrats),Vice-Chair
Christopher BEAZLEY,United Kingdom,Conservative and Unionist Party,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Jean-Pierre BEBEAR,France,Union pour la démocratie française - Parti républicain,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Phil BENNION,United Kingdom,Liberal Democrats Party,Renew Europe Group,Member
Nora BERRA,France,Union pour un Mouvement Populaire,Group of the European People's Party (Christian Democrats),Substitute
